nodo,lat,lon,adyacentes
1273515047,-12.2107108,-76.9481083,"1657677954:49.21:-12.2103291:-76.9483375,1273566329:50.27:-12.2109407:-76.9485066,1657677962:51.98:-12.211114:-76.9478662"
1273517762,-12.2398831,-76.9241078,"5438633968:47.52:-12.2401599:-76.924441,1712258396:43.98:-12.2396267:-76.9237996,11038474576:104.27:-12.240606:-76.9234967"
1273517979,-12.222496,-76.9656806,"3717321696:394.43:-12.2196032:-76.967781,3717321696:394.43:-12.2196032:-76.967781,3717321695:110.62:-12.2219975:-76.9647997,1273824526:108.15:-12.223021:-76.9665183,1273463163:340.18:-12.2250184:-76.9639101"
1273519372,-12.2100436,-76.9469196,"5433696739:52.5:-12.2098044:-76.9465031,1273748899:48.29:-12.2102636:-76.9473027,1273817104:100.03:-12.2092666:-76.9473834"
1273523795,-12.2367058,-76.9180694,"1273964238:37.55:-12.2365313:-76.9177736,1723345392:48.69:-12.2370811:-76.9178385,1273855826:43.6:-12.2363697:-76.918276"
1273524231,-12.1933267,-76.9432729,"3749302091:10.6:-12.1932444:-76.9433221,6838741872:99.24:-12.1928713:-76.9424876,5432469152:49.62:-12.193712:-76.9430425"
1273524278,-12.2273206,-76.9436612,"9918258437:8.01:-12.2272584:-76.9436983,9918258426:41.09:-12.2276428:-76.9434761,3757448177:156.05:-12.2280238:-76.9449039"
1273524402,-12.1947155,-76.9467812,"1273656877:47.3:-12.1943501:-76.9470041,5432464013:49.44:-12.1949492:-76.9471682,3749302109:50.61:-12.1951064:-76.9465427"
1273524406,-12.2271104,-76.9339079,"1709508454:49.41:-12.2273346:-76.9343005,4370536251:48.31:-12.2274846:-76.9336821,1273881557:50.72:-12.2267175:-76.934145"
1273525406,-12.208281,-76.9375813,"1273661337:52.71:-12.2078713:-76.9378252,1572825700:48.24:-12.2086559:-76.9373581,5433743820:51.25:-12.2085146:-76.9379878"
1273526063,-12.2324294,-76.9129691,"1273788658:50.77:-12.2328544:-76.9131398,1752177968:47.53:-12.2320316:-76.912809,1752177981:93.9:-12.2327454:-76.9121678,1273744211:95.73:-12.2321208:-76.9137915"
1273528174,-12.2466144,-76.9240609,"6467342952:57.2:-12.2463623:-76.9236021,1273966957:71.77:-12.2471606:-76.923709"
1273529566,-12.2100926,-76.9490171,"4152129021:102.87:-12.2105651:-76.9498309,1273759707:49.28:-12.2097109:-76.9492476"
1273529675,-12.2358507,-76.9125548,"2465762528:129.93:-12.2354339:-76.9136718,2465762526:53.11:-12.2362967:-76.9127297,1754073232:57.08:-12.2360334:-76.9120639"
1273530073,-12.2095577,-76.9351244,"1273595184:47.87:-12.2093352:-76.9347473,1572825643:99.46:-12.2103276:-76.9346589,3783425151:49.88:-12.2097894:-76.9355174"
1273534926,-12.1981031,-76.9414758,"4367138832:50.04:-12.1977153:-76.9417094,5432474863:48.91:-12.1983265:-76.9418635,1657677725:61.35:-12.1985786:-76.9411895"
1273535368,-12.2091646,-76.9501011,"1273463267:49.01:-12.2089399:-76.9497132,5432479567:99.46:-12.2099344:-76.9496351,5432479566:99.34:-12.2083957:-76.9505666,4152129019:56.2:-12.2094222:-76.950546"
1273535506,-12.226648,-76.9331114,"5436378307:48.61:-12.2264212:-76.932729,1273754568:48.58:-12.2270246:-76.9328848,1709508418:49.79:-12.2262621:-76.9333437"
1273535755,-12.2210641,-76.9266527,"5436365818:50.85:-12.2208273:-76.9262524,1709508296:86.07:-12.2214649:-76.9273302,5436365819:99.94:-12.2218379:-76.9261848"
1273535759,-12.2245897,-76.9699528,"3717264124:99.79:-12.2240197:-76.9692436,5390458005:284.63:-12.2266145:-76.9683505,1273722908:363.88:-12.2220454:-76.97205"
1273536688,-12.2317562,-76.922361,"4370545053:86.4:-12.2321506:-76.923046,5463343287:56.03:-12.231322:-76.9226227,1273743038:82.06:-12.2313798:-76.9217115,4370545040:104.64:-12.2325671:-76.9218724"
1273537923,-12.2237641,-76.9430988,"4149749728:10.87:-12.2236792:-76.9431484,1663792952:52.13:-12.2235344:-76.9426806,1710627886:51.54:-12.2241656:-76.9428619"
1273539337,-12.2005144,-76.9389655,"1273726734:48.37:-12.2001374:-76.9391876,5432486000:48.7:-12.2002821:-76.9385856,3749285423:50.28:-12.2009063:-76.9387347"
1273541829,-12.2146052,-76.9348433,"1273877129:49.82:-12.2149921:-76.9346122,1273895706:48.03:-12.214387:-76.9344619,1663776765:51.25:-12.2142071:-76.935081"
1273546545,-12.2281439,-76.9172663,5438615466:29.01:-12.2283712:-76.9171353
1273548013,-12.224682,-76.9381296,"5436376577:105.14:-12.2254925:-76.9376313,1711900082:52.38:-12.2244391:-76.9377166"
